Date,Power [kW],Temp (°C),HR,Wind Speed (m/s),Wind Gust (m/s),Pres (mbar),Solar Irradiance (W/m²),Rain (mm/h),Rain (Day),Holiday,Hour,Power - 1,Sin hour
2017-01-01 00:00:00,42.99643,8.5325,74.96666666666667,2.3445,3.27075,1029.0,1.3550833333333332,0.0,0.0,1,0,,-9.893582466233818
2017-01-01 01:00:00,42.7519285,7.93,76.30833333333334,2.6924166666666665,3.4803333333333337,1028.1666666666667,1.4773333333333334,0.0,0.0,1,1,42.99643,-9.933048616783237
2017-01-01 02:00:00,42.861834,7.263416666666667,80.27499999999999,3.30025,4.067166666666666,1028.0,1.4150833333333335,0.0,0.0,1,2,42.7519285,-9.29559391923785
2017-01-01 03:00:00,42.317769,6.831333333333333,81.33333333333333,3.534333333333333,4.423583333333333,1028.0,1.5419999999999998,0.0,0.0,1,3,42.861834,-8.024659857791685
2017-01-01 04:00:00,42.653385,6.50025,81.24166666666666,4.006,5.262333333333333,1028.0,0.891,0.0,0.0,1,4,42.317769,-6.2068584884144515
2017-01-01 05:00:00,42.4377255,6.0064166666666665,81.00833333333334,4.552833333333333,6.0793333333333335,1028.0,1.3758333333333332,0.0,0.0,1,5,42.653385,-3.9660699703704005
2017-01-01 06:00:00,42.307281,5.645833333333333,80.44166666666666,4.004416666666667,5.346416666666666,1027.0,0.988,0.0,0.0,1,6,42.4377255,-1.455000338086136
2017-01-01 07:00:00,46.7447975,5.47775,80.19166666666666,3.17625,4.654166666666667,1027.0,1.4661666666666668,0.0,0.0,1,7,42.307281,1.1552251627369516
2017-01-01 08:00:00,46.521709,5.4102500000000004,80.35833333333333,3.4609166666666664,4.402333333333334,1027.0,29.54975,0.0,0.0,1,8,46.7447975,3.686723977819363
2017-01-01 09:00:00,46.554047,5.480583333333333,80.09166666666667,4.51075,5.680666666666667,1027.0,76.49416666666667,0.0,0.0,1,9,46.521709,5.966978646412833
2017-01-01 10:00:00,46.689517,6.0168333333333335,78.79166666666667,3.9555000000000002,5.324916666666667,1027.0,192.8083333333333,0.0,0.0,1,10,46.554047,7.8405935811517145
2017-01-01 11:00:00,46.7360575,6.882416666666667,76.29166666666667,2.4581666666666666,3.3125,1026.1666666666667,237.49166666666667,0.0,0.0,1,11,46.689517,9.17988502052864
2017-01-01 12:00:00,46.97313,7.56,75.31666666666666,2.150583333333333,2.8511666666666664,1025.1666666666667,267.5,0.0,0.0,1,12,46.7360575,9.893582466233818
2017-01-01 13:00:00,47.654413,8.73,72.74916666666667,1.5585000000000002,2.222166666666667,1023.6666666666666,203.54999999999998,0.0,0.0,1,13,46.97313,9.933048616783237
2017-01-01 14:00:00,47.892578,9.809166666666666,70.03083333333333,1.0795833333333333,1.719083333333333,1023.0,146.23333333333332,0.0,0.0,1,14,47.654413,9.295593919237854
2017-01-01 15:00:00,47.786387,9.735833333333334,71.41083333333333,1.9410833333333333,2.411,1022.25,124.28333333333335,0.0,0.0,1,15,47.892578,8.024659857791692
2017-01-01 16:00:00,48.0199635,9.525833333333333,73.75833333333334,1.3505,1.761,1022.0,56.92416666666667,0.0,0.0,1,16,47.786387,6.206858488414452
2017-01-01 17:00:00,48.2716755,8.9725,76.35833333333333,2.4476666666666667,2.998083333333333,1022.0,5.232166666666667,0.0,0.0,1,17,48.0199635,3.96606997037041
2017-01-01 18:00:00,48.695784,8.865,76.30833333333334,2.7325,3.3335000000000004,1021.5833333333334,1.5073333333333334,0.0,0.0,1,18,48.2716755,1.455000338086137
2017-01-01 19:00:00,49.652377,8.984166666666667,75.88333333333334,2.2152499999999997,2.8722499999999997,1021.0,1.4498333333333333,0.0,0.0,1,19,48.695784,-1.1552251627369503
2017-01-01 20:00:00,48.608821,9.186666666666667,76.85833333333333,1.7769166666666667,2.2223333333333333,1020.0,1.3549999999999998,0.0,0.0,1,20,49.652377,-3.6867239778193617
2017-01-01 21:00:00,44.7079405,9.174166666666666,78.60000000000001,0.4088333333333333,0.6499166666666666,1019.3333333333334,1.3435833333333334,0.0,0.0,1,21,48.608821,-5.966978646412833
